	날짜	시가	종가	고가	저가	거래량
0	2018.05.28	1815.0	1795.0	1830.0	1785.0	124590.0
1	2018.05.25	1840.0	1800.0	1860.0	1800.0	199249.0
2	2018.05.24	1850.0	1880.0	1880.0	1830.0	113276.0
3	2018.05.23	1850.0	1850.0	1860.0	1835.0	80363.0
4	2018.05.21	1885.0	1850.0	1885.0	1830.0	105856.0
5	2018.05.18	1805.0	1850.0	1880.0	1800.0	131302.0
6	2018.05.17	1790.0	1800.0	1870.0	1790.0	179022.0
7	2018.05.16	1825.0	1815.0	1855.0	1790.0	147524.0
8	2018.05.15	1900.0	1855.0	1900.0	1845.0	144837.0
9	2018.05.14	1875.0	1895.0	1905.0	1850.0	205032.0
10	2018.05.11	1845.0	1855.0	1860.0	1825.0	51758.0
11	2018.05.10	1830.0	1835.0	1870.0	1820.0	109281.0
12	2018.05.09	1890.0	1845.0	1890.0	1805.0	177711.0
13	2018.05.08	1820.0	1890.0	1900.0	1815.0	375282.0
14	2018.05.04	1850.0	1830.0	1850.0	1800.0	126483.0
15	2018.05.03	1790.0	1840.0	1855.0	1765.0	280872.0
16	2018.05.02	1790.0	1775.0	1800.0	1755.0	113834.0
17	2018.04.30	1790.0	1780.0	1795.0	1745.0	150202.0
18	2018.04.27	1770.0	1775.0	1795.0	1765.0	77440.0
19	2018.04.26	1775.0	1775.0	1800.0	1740.0	114518.0
20	2018.04.25	1740.0	1755.0	1825.0	1740.0	313562.0
21	2018.04.24	1710.0	1740.0	1750.0	1710.0	66776.0
22	2018.04.23	1710.0	1740.0	1740.0	1700.0	116826.0
23	2018.04.20	1725.0	1725.0	1735.0	1705.0	46851.0
24	2018.04.19	1690.0	1710.0	1725.0	1680.0	102438.0
25	2018.04.18	1690.0	1690.0	1715.0	1685.0	42561.0
26	2018.04.17	1695.0	1690.0	1705.0	1680.0	60368.0
27	2018.04.16	1680.0	1695.0	1710.0	1680.0	42838.0
28	2018.04.13	1675.0	1695.0	1695.0	1655.0	52057.0
29	2018.04.12	1660.0	1660.0	1695.0	1660.0	68558.0
30	2018.04.11	1680.0	1660.0	1680.0	1650.0	73257.0
31	2018.04.10	1700.0	1670.0	1710.0	1650.0	155202.0
32	2018.04.09	1690.0	1695.0	1720.0	1680.0	70740.0
33	2018.04.06	1705.0	1690.0	1710.0	1680.0	26163.0
34	2018.04.05	1715.0	1690.0	1715.0	1680.0	87023.0
35	2018.04.04	1735.0	1695.0	1760.0	1695.0	153101.0
36	2018.04.03	1750.0	1740.0	1750.0	1720.0	55221.0
37	2018.04.02	1740.0	1755.0	1785.0	1720.0	95942.0
38	2018.03.30	1730.0	1740.0	1805.0	1705.0	386861.0
39	2018.03.29	1710.0	1715.0	1715.0	1675.0	48414.0
40	2018.03.28	1720.0	1690.0	1720.0	1690.0	99263.0
41	2018.03.27	1715.0	1720.0	1770.0	1695.0	116947.0
42	2018.03.26	1735.0	1720.0	1760.0	1710.0	131180.0
43	2018.03.23	1720.0	1740.0	1790.0	1705.0	194515.0
44	2018.03.22	1750.0	1750.0	1920.0	1735.0	1260577.0
45	2018.03.21	1740.0	1750.0	1765.0	1740.0	63186.0
46	2018.03.20	1725.0	1760.0	1770.0	1720.0	53841.0
47	2018.03.19	1770.0	1725.0	1775.0	1695.0	134385.0
48	2018.03.16	1775.0	1770.0	1775.0	1740.0	101476.0
49	2018.03.15	1745.0	1740.0	1755.0	1695.0	109291.0
50	2018.03.14	1745.0	1745.0	1750.0	1710.0	116838.0
51	2018.03.13	1730.0	1745.0	1765.0	1730.0	40128.0
52	2018.03.12	1750.0	1745.0	1750.0	1725.0	71368.0
53	2018.03.09	1725.0	1725.0	1735.0	1690.0	62614.0
54	2018.03.08	1695.0	1720.0	1720.0	1695.0	35466.0
55	2018.03.07	1720.0	1695.0	1720.0	1680.0	90325.0
56	2018.03.06	1695.0	1700.0	1730.0	1660.0	83290.0
57	2018.03.05	1685.0	1660.0	1700.0	1650.0	117545.0
58	2018.03.02	1705.0	1675.0	1765.0	1660.0	151027.0
59	2018.02.28	1720.0	1715.0	1750.0	1710.0	67717.0
60	2018.02.27	1765.0	1720.0	1765.0	1710.0	120503.0
61	2018.02.26	1785.0	1735.0	1785.0	1725.0	121129.0
62	2018.02.23	1780.0	1770.0	1790.0	1760.0	68704.0
63	2018.02.22	1770.0	1775.0	1810.0	1760.0	115547.0
64	2018.02.21	1745.0	1770.0	1770.0	1725.0	126911.0
65	2018.02.20	1720.0	1740.0	1745.0	1710.0	67252.0
66	2018.02.19	1730.0	1720.0	1760.0	1710.0	135118.0
67	2018.02.14	1730.0	1730.0	1755.0	1720.0	97203.0
68	2018.02.13	1770.0	1730.0	1785.0	1730.0	174924.0
69	2018.02.12	1795.0	1765.0	1815.0	1750.0	148768.0
70	2018.02.09	1770.0	1795.0	1820.0	1740.0	133885.0
71	2018.02.08	1810.0	1810.0	1825.0	1805.0	97625.0
72	2018.02.07	1825.0	1790.0	1855.0	1780.0	148418.0
73	2018.02.06	1765.0	1810.0	1825.0	1750.0	354849.0
74	2018.02.05	1910.0	1835.0	1910.0	1820.0	324167.0
75	2018.02.02	1935.0	1920.0	1945.0	1900.0	287799.0
76	2018.02.01	1900.0	1930.0	1945.0	1900.0	235637.0
77	2018.01.31	1920.0	1905.0	1925.0	1870.0	229427.0
78	2018.01.30	1940.0	1930.0	1970.0	1920.0	314819.0
79	2018.01.29	1940.0	1930.0	1950.0	1925.0	225736.0
80	2018.01.26	1900.0	1920.0	1935.0	1900.0	170198.0
81	2018.01.25	1865.0	1895.0	1900.0	1860.0	196536.0
82	2018.01.24	1850.0	1870.0	1880.0	1830.0	159431.0
83	2018.01.23	1840.0	1860.0	1870.0	1840.0	153549.0
84	2018.01.22	1870.0	1840.0	1870.0	1815.0	259850.0
85	2018.01.19	1910.0	1860.0	1915.0	1855.0	270582.0
86	2018.01.18	1910.0	1900.0	1910.0	1875.0	133996.0
87	2018.01.17	1860.0	1910.0	1925.0	1840.0	351355.0
88	2018.01.16	1860.0	1860.0	1895.0	1835.0	224391.0
89	2018.01.15	1825.0	1860.0	1885.0	1825.0	398174.0
90	2018.01.12	1905.0	1825.0	1940.0	1810.0	892207.0
91	2018.01.11	1980.0	1885.0	1980.0	1870.0	1139836.0
92	2018.01.10	2500.0	1990.0	2660.0	1980.0	6057617.0
93	2018.01.09	2100.0	2175.0	2205.0	2080.0	399548.0
94	2018.01.08	2100.0	2155.0	2230.0	2100.0	714846.0
95	2018.01.05	2130.0	2100.0	2170.0	2075.0	314874.0
96	2018.01.04	2025.0	2100.0	2165.0	1995.0	473279.0
97	2018.01.03	1960.0	2025.0	2055.0	1920.0	231708.0
98	2018.01.02	1945.0	1955.0	1980.0	1930.0	182539.0
99	2017.12.28	1865.0	1935.0	1945.0	1860.0	109457.0
100	2017.12.27	1810.0	1865.0	1870.0	1810.0	66477.0
101	2017.12.26	1880.0	1825.0	1900.0	1750.0	311788.0
102	2017.12.22	1925.0	1925.0	1945.0	1900.0	88059.0
103	2017.12.21	1950.0	1925.0	1965.0	1905.0	250601.0
104	2017.12.20	1975.0	1960.0	2005.0	1950.0	115313.0
105	2017.12.19	2000.0	1980.0	2160.0	1960.0	1014023.0
106	2017.12.18	1945.0	1980.0	1990.0	1940.0	178203.0
107	2017.12.15	2020.0	1960.0	2025.0	1945.0	185268.0
108	2017.12.14	1995.0	2015.0	2050.0	1955.0	130099.0
109	2017.12.13	2000.0	2005.0	2070.0	1970.0	258091.0
110	2017.12.12	2025.0	1975.0	2045.0	1950.0	159105.0
111	2017.12.11	1965.0	2005.0	2010.0	1925.0	314653.0
112	2017.12.08	1845.0	2000.0	2090.0	1845.0	1206753.0
113	2017.12.07	1815.0	1845.0	1865.0	1815.0	132202.0
114	2017.12.06	1820.0	1815.0	1830.0	1790.0	66331.0
115	2017.12.05	1765.0	1795.0	1815.0	1760.0	70427.0
116	2017.12.04	1820.0	1765.0	1825.0	1750.0	144310.0
117	2017.12.01	1845.0	1830.0	1845.0	1810.0	40632.0
118	2017.11.30	1845.0	1835.0	1870.0	1800.0	125571.0
119	2017.11.29	1875.0	1845.0	1900.0	1830.0	111129.0
120	2017.11.28	1935.0	1875.0	1935.0	1875.0	63369.0
121	2017.11.27	1880.0	1920.0	1950.0	1875.0	191993.0
122	2017.11.24	1880.0	1885.0	1900.0	1860.0	131568.0
123	2017.11.23	1845.0	1900.0	1930.0	1840.0	186236.0
124	2017.11.22	1870.0	1845.0	1905.0	1845.0	94693.0
125	2017.11.21	1890.0	1870.0	1905.0	1850.0	76267.0
126	2017.11.20	1880.0	1890.0	1910.0	1880.0	54320.0
127	2017.11.17	1930.0	1885.0	1940.0	1875.0	75742.0
128	2017.11.16	1940.0	1920.0	1940.0	1875.0	118784.0
129	2017.11.15	1945.0	1930.0	1965.0	1900.0	145315.0
130	2017.11.14	1930.0	1930.0	1985.0	1905.0	72458.0
131	2017.11.13	1975.0	1935.0	2010.0	1935.0	146303.0
132	2017.11.10	1990.0	1980.0	2020.0	1975.0	118528.0
133	2017.11.09	1930.0	1985.0	2030.0	1930.0	422828.0
