	날짜	시가	종가	고가	저가	거래량
0	2018.05.28	10500.0	10650.0	10800.0	10500.0	44415.0
1	2018.05.25	10650.0	10450.0	10650.0	10350.0	33553.0
2	2018.05.24	10550.0	10650.0	10700.0	10550.0	20607.0
3	2018.05.23	10700.0	10600.0	10800.0	10500.0	36943.0
4	2018.05.21	10800.0	10700.0	10900.0	10350.0	59035.0
5	2018.05.18	10400.0	10800.0	10850.0	10400.0	21114.0
6	2018.05.17	10550.0	10500.0	10700.0	10350.0	27232.0
7	2018.05.16	11000.0	10500.0	11000.0	10500.0	30325.0
8	2018.05.15	11100.0	10900.0	11350.0	10900.0	24005.0
9	2018.05.14	10900.0	11150.0	11350.0	10900.0	41409.0
10	2018.05.11	10900.0	10950.0	11100.0	10750.0	29379.0
11	2018.05.10	10500.0	10900.0	11550.0	10400.0	128635.0
12	2018.05.09	10200.0	10400.0	10450.0	10050.0	34628.0
13	2018.05.08	10350.0	10250.0	10600.0	10250.0	31855.0
14	2018.05.04	10450.0	10350.0	10550.0	10250.0	30606.0
15	2018.05.03	10550.0	10450.0	11000.0	10450.0	57668.0
16	2018.05.02	10350.0	10350.0	10550.0	10150.0	33860.0
17	2018.04.30	10650.0	10300.0	10650.0	10200.0	41917.0
18	2018.04.27	10800.0	10650.0	10800.0	10600.0	22523.0
19	2018.04.26	10550.0	10750.0	10950.0	10550.0	19211.0
20	2018.04.25	10550.0	10600.0	10700.0	10400.0	23275.0
21	2018.04.24	10800.0	10650.0	10800.0	10600.0	28817.0
22	2018.04.23	11350.0	10800.0	11400.0	10700.0	52782.0
23	2018.04.20	10850.0	11150.0	11200.0	10850.0	30828.0
24	2018.04.19	10750.0	10800.0	11300.0	10650.0	65538.0
25	2018.04.18	10800.0	10750.0	10850.0	10650.0	32637.0
26	2018.04.17	10800.0	10800.0	10900.0	10650.0	37394.0
27	2018.04.16	10900.0	10800.0	10900.0	10700.0	24925.0
28	2018.04.13	11100.0	10950.0	11400.0	10850.0	79277.0
29	2018.04.12	10450.0	10850.0	10950.0	10450.0	71099.0
30	2018.04.11	10350.0	10400.0	10450.0	10200.0	20694.0
31	2018.04.10	10400.0	10350.0	10400.0	10000.0	39256.0
32	2018.04.09	10300.0	10300.0	10450.0	10200.0	13657.0
33	2018.04.06	10550.0	10500.0	10600.0	10200.0	21491.0
34	2018.04.05	10200.0	10550.0	10600.0	10100.0	34456.0
35	2018.04.04	10800.0	10100.0	10850.0	9900.0	82757.0
36	2018.04.03	11300.0	10750.0	11400.0	10550.0	83099.0
37	2018.04.02	11450.0	11300.0	11600.0	11000.0	25052.0
38	2018.03.30	11350.0	11450.0	11600.0	11200.0	16835.0
39	2018.03.29	11050.0	11300.0	11300.0	11050.0	15981.0
40	2018.03.28	11200.0	11150.0	11350.0	10950.0	43881.0
41	2018.03.27	11500.0	11350.0	11550.0	11200.0	27541.0
42	2018.03.26	11300.0	11300.0	11300.0	11000.0	42139.0
43	2018.03.23	11800.0	11300.0	11800.0	11300.0	68998.0
44	2018.03.22	12150.0	12050.0	12150.0	11850.0	49427.0
45	2018.03.21	12150.0	12050.0	12500.0	12000.0	55891.0
46	2018.03.20	12050.0	12150.0	12250.0	11850.0	34635.0
