	날짜	시가	종가	고가	저가	거래량
0	2018.05.28	36550.0	36750.0	37050.0	36400.0	234224.0
1	2018.05.25	36400.0	36400.0	37000.0	36200.0	332060.0
2	2018.05.24	37100.0	36550.0	37300.0	36400.0	512740.0
3	2018.05.23	38200.0	37100.0	38250.0	36900.0	659351.0
4	2018.05.21	39100.0	38300.0	39350.0	38200.0	356821.0
5	2018.05.18	38950.0	39000.0	39400.0	38750.0	168083.0
6	2018.05.17	39700.0	38750.0	39700.0	38700.0	467664.0
7	2018.05.16	41000.0	39700.0	41150.0	39250.0	536064.0
8	2018.05.15	41950.0	41300.0	42000.0	41100.0	343179.0
9	2018.05.14	41050.0	41950.0	42950.0	41000.0	696147.0
10	2018.05.11	39450.0	41050.0	41100.0	38950.0	539986.0
11	2018.05.10	39250.0	39400.0	40000.0	39150.0	335975.0
12	2018.05.09	39450.0	39350.0	39600.0	39100.0	249077.0
13	2018.05.08	39050.0	39200.0	39450.0	38800.0	283609.0
14	2018.05.04	39200.0	38500.0	39200.0	38300.0	250645.0
15	2018.05.03	39250.0	39200.0	39600.0	39050.0	160008.0
16	2018.05.02	39850.0	39400.0	40550.0	38750.0	481022.0
17	2018.04.30	40400.0	39950.0	40700.0	39750.0	301187.0
18	2018.04.27	40350.0	40050.0	40700.0	39800.0	224354.0
19	2018.04.26	40600.0	40450.0	40800.0	40100.0	160817.0
20	2018.04.25	41000.0	40300.0	41050.0	40050.0	193147.0
21	2018.04.24	41050.0	41100.0	41700.0	40800.0	241832.0
22	2018.04.23	41500.0	41050.0	41700.0	40550.0	281511.0
23	2018.04.20	40100.0	41250.0	41500.0	39700.0	449700.0
24	2018.04.19	39950.0	40100.0	40650.0	39700.0	387575.0
25	2018.04.18	38900.0	40100.0	40100.0	38800.0	326116.0
26	2018.04.17	38900.0	38650.0	39250.0	38300.0	205032.0
27	2018.04.16	39850.0	38850.0	39900.0	38850.0	206598.0
28	2018.04.13	39050.0	39650.0	39800.0	39050.0	192949.0
29	2018.04.12	39900.0	38950.0	39950.0	38950.0	435362.0
30	2018.04.11	39050.0	39850.0	39950.0	39050.0	256776.0
31	2018.04.10	38650.0	39100.0	39350.0	38500.0	266823.0
32	2018.04.09	38300.0	38900.0	39250.0	38150.0	200895.0
33	2018.04.06	38500.0	38650.0	38750.0	38300.0	212790.0
34	2018.04.05	38350.0	38650.0	38850.0	38050.0	229060.0
35	2018.04.04	39050.0	38200.0	39100.0	38100.0	342937.0
36	2018.04.03	38350.0	39400.0	39600.0	38000.0	310331.0
37	2018.04.02	39200.0	38750.0	39600.0	38550.0	251850.0
38	2018.03.30	39600.0	39150.0	39700.0	39000.0	197801.0
39	2018.03.29	39500.0	39350.0	40300.0	38950.0	321782.0
40	2018.03.28	40300.0	39600.0	40300.0	39300.0	327875.0
41	2018.03.27	38800.0	39850.0	40450.0	38800.0	379520.0
42	2018.03.26	38200.0	38500.0	39400.0	38200.0	305737.0
43	2018.03.23	39000.0	38500.0	39250.0	38500.0	279735.0
44	2018.03.22	39500.0	39700.0	40300.0	39350.0	304230.0
45	2018.03.21	40400.0	39300.0	40450.0	39250.0	701779.0
46	2018.03.20	41000.0	40450.0	41000.0	40400.0	234587.0
47	2018.03.19	41650.0	41250.0	41750.0	40600.0	188076.0
48	2018.03.16	41050.0	41350.0	41550.0	40750.0	172779.0
49	2018.03.15	41000.0	41100.0	41200.0	40500.0	193711.0
50	2018.03.14	41150.0	41000.0	41300.0	40700.0	289324.0
51	2018.03.13	42300.0	41500.0	42300.0	41450.0	290175.0
52	2018.03.12	42850.0	42450.0	42850.0	42150.0	250611.0
53	2018.03.09	41650.0	42450.0	42600.0	41650.0	298126.0
54	2018.03.08	41800.0	41600.0	42250.0	41250.0	285108.0
55	2018.03.07	42000.0	41700.0	42150.0	41200.0	305820.0
56	2018.03.06	43000.0	42200.0	43050.0	41950.0	301848.0
57	2018.03.05	42650.0	42450.0	42850.0	42200.0	226581.0
58	2018.03.02	43300.0	42950.0	43350.0	42150.0	366895.0
59	2018.02.28	44700.0	44150.0	44850.0	44000.0	268832.0
60	2018.02.27	44700.0	44900.0	45700.0	44500.0	485399.0
61	2018.02.26	43050.0	43600.0	43700.0	42600.0	262779.0
62	2018.02.23	42700.0	43050.0	43350.0	42100.0	168708.0
63	2018.02.22	42450.0	42300.0	42450.0	41500.0	111676.0
64	2018.02.21	42350.0	42800.0	42900.0	42150.0	98428.0
65	2018.02.20	42550.0	42500.0	43300.0	42150.0	119398.0
66	2018.02.19	42400.0	42800.0	43200.0	42200.0	299924.0
67	2018.02.14	41650.0	41750.0	42350.0	41600.0	298794.0
68	2018.02.13	43200.0	41850.0	43550.0	41800.0	313954.0
69	2018.02.12	43650.0	42900.0	43850.0	42800.0	227383.0
70	2018.02.09	42350.0	43650.0	44050.0	42350.0	205863.0
71	2018.02.08	43700.0	43500.0	44500.0	43300.0	268602.0
72	2018.02.07	44800.0	43700.0	45350.0	43500.0	231904.0
73	2018.02.06	44150.0	44400.0	45000.0	43200.0	357380.0
74	2018.02.05	45800.0	45500.0	46300.0	44850.0	157309.0
75	2018.02.02	47100.0	46400.0	47450.0	45850.0	164227.0
76	2018.02.01	46700.0	47000.0	47800.0	46250.0	224203.0
77	2018.01.31	46900.0	47050.0	47400.0	45650.0	319763.0
78	2018.01.30	48250.0	47150.0	48750.0	47150.0	249512.0
79	2018.01.29	47000.0	48200.0	48250.0	46750.0	298648.0
80	2018.01.26	46950.0	46950.0	47300.0	46100.0	195282.0
81	2018.01.25	46700.0	46950.0	47500.0	46450.0	219407.0
82	2018.01.24	47950.0	46700.0	47950.0	46700.0	219891.0
83	2018.01.23	46450.0	48050.0	48100.0	46450.0	339103.0
84	2018.01.22	46000.0	47000.0	47750.0	45550.0	233783.0
85	2018.01.19	44750.0	46600.0	46700.0	44750.0	264504.0
86	2018.01.18	44700.0	45000.0	45750.0	44700.0	232619.0
87	2018.01.17	44850.0	45000.0	45800.0	44300.0	207340.0
88	2018.01.16	45500.0	45000.0	45800.0	45000.0	207134.0
89	2018.01.15	44800.0	45850.0	46500.0	44800.0	223974.0
90	2018.01.12	44900.0	44650.0	45450.0	44000.0	332236.0
91	2018.01.11	46300.0	44850.0	46500.0	44500.0	348044.0
92	2018.01.10	46050.0	46000.0	46950.0	45800.0	251898.0
93	2018.01.09	45800.0	45850.0	47400.0	45800.0	414873.0
94	2018.01.08	46350.0	45700.0	46550.0	45600.0	279136.0
95	2018.01.05	45000.0	46400.0	47000.0	44800.0	1016729.0
96	2018.01.04	43500.0	43600.0	44450.0	43150.0	328903.0
97	2018.01.03	42900.0	43000.0	43650.0	42850.0	227775.0
98	2018.01.02	41900.0	43250.0	43400.0	41850.0	319909.0
99	2017.12.28	40650.0	41500.0	41700.0	40600.0	162392.0
100	2017.12.27	41550.0	41050.0	41550.0	40200.0	198722.0
101	2017.12.26	40700.0	41000.0	41250.0	40700.0	182198.0
102	2017.12.22	40900.0	40700.0	41250.0	40200.0	179043.0
103	2017.12.21	41250.0	40500.0	41650.0	40400.0	230578.0
104	2017.12.20	41750.0	41450.0	42300.0	41450.0	177777.0
105	2017.12.19	42000.0	41900.0	43000.0	41500.0	269406.0
106	2017.12.18	41950.0	42000.0	42750.0	41900.0	208847.0
107	2017.12.15	41100.0	41550.0	42550.0	41050.0	571259.0
108	2017.12.14	41600.0	40700.0	41700.0	40700.0	423978.0
109	2017.12.13	39600.0	41500.0	41950.0	39600.0	479003.0
110	2017.12.12	39800.0	39500.0	40100.0	39500.0	205235.0
111	2017.12.11	39550.0	40000.0	40050.0	39500.0	141360.0
112	2017.12.08	40650.0	39750.0	40700.0	39700.0	232177.0
113	2017.12.07	41450.0	40750.0	41850.0	40500.0	187880.0
114	2017.12.06	42200.0	41550.0	42200.0	41500.0	158043.0
115	2017.12.05	41100.0	42050.0	42150.0	41000.0	185592.0
116	2017.12.04	40950.0	41350.0	41650.0	40550.0	160308.0
